date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:28	940/940	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Jul%202025%2021:47:28%20GMT	https://merchant.mypos.com/it/forgotten-password/	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/it/forgotten-password/index.html	(from https://merchant.mypos.com/it/login)
23:47:29	1185205/1185205	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2021:47:29%20GMT	https://merchant.mypos.com/it/onboarding	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/it/onboarding.html	(from https://merchant.mypos.com/it/login)
23:47:29	38306/38306	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:29%20GMT	https://merchant.mypos.com/build/runtime.97fdf475.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/runtime.97fdf475.js	(from https://merchant.mypos.com/it/login)
23:47:29	92718/92718	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:29%20GMT	https://merchant.mypos.com/build/26981.ca530ff9.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/26981.ca530ff9.js	(from https://merchant.mypos.com/it/login)
23:47:29	90356/90356	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:29%20GMT	https://merchant.mypos.com/build/19755.c6e3c2c3.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/19755.c6e3c2c3.js	(from https://merchant.mypos.com/it/login)
23:47:29	65977/65977	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:30%20GMT	https://merchant.mypos.com/build/3965.ac2b826e.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/3965.ac2b826e.js	(from https://merchant.mypos.com/it/login)
23:47:30	21332/21332	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:30%20GMT	https://merchant.mypos.com/build/28981.9a35a410.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/28981.9a35a410.js	(from https://merchant.mypos.com/it/login)
23:47:30	46521/46521	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:30%20GMT	https://merchant.mypos.com/build/80580.f6cab587.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/80580.f6cab587.js	(from https://merchant.mypos.com/it/login)
23:47:30	81474/81474	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:30%20GMT	https://merchant.mypos.com/build/20454.97b0eb3a.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/20454.97b0eb3a.js	(from https://merchant.mypos.com/it/login)
23:47:30	52496/52496	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:30%20GMT	https://merchant.mypos.com/build/43734.f15cba7a.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/43734.f15cba7a.js	(from https://merchant.mypos.com/it/login)
23:47:31	132083/132083	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:31%20GMT	https://merchant.mypos.com/build/97009.0b2811ac.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/97009.0b2811ac.js	(from https://merchant.mypos.com/it/login)
23:47:31	169474/169474	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:31%20GMT	https://merchant.mypos.com/build/11841.39eb8864.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/11841.39eb8864.js	(from https://merchant.mypos.com/it/login)
23:47:31	33747/33747	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2021:47:31%20GMT	https://merchant.mypos.com/build/login/js/app.e0121feb.js	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/login/js/app.e0121feb.js	(from https://merchant.mypos.com/it/login)
23:47:34	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Sat,%2026%20Jul%202025%2021:47:34%20GMT	https://www.google.com/recaptcha/api.js	C:/Mie%20pagine%20Web/mypos/www.google.com/recaptcha/api.js	(from https://merchant.mypos.com/it/login)
23:47:34	4178/4178	---M--	200	added ('OK')	image/gif	etag:%221052-63aa6116530d1%22	https://merchant.mypos.com/build/node_modules/slick-carousel/slick/ajax-loader.fb6f3c23.gif	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/slick-carousel/slick/ajax-loader.fb6f3c23.gif	(from https://merchant.mypos.com/build/91402.b8da3824.css)
23:47:35	2048/2048	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22800-63aa611a44fe1-gzip%22	https://merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.a4e97f5a.eot	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.a4e97f5a.eot	(from https://merchant.mypos.com/build/91402.b8da3824.css)
23:47:35	2048/2048	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22800-63aa6116530d1-gzip%22	https://merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.a4e97f5a.eot?	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.a4e97f5ad41d.eot	(from https://merchant.mypos.com/build/91402.b8da3824.css)
23:47:35	1380/1380	---M--	200	added ('OK')	font/woff	etag:%22564-63aa6116530d1%22	https://merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.29518378.woff	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.29518378.woff	(from https://merchant.mypos.com/build/91402.b8da3824.css)
23:47:35	1892/1892	---M-Z	200	added ('OK')	font/ttf	etag:%22764-63aa6116530d1-gzip%22	https://merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.c94f7671.ttf	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.c94f7671.ttf	(from https://merchant.mypos.com/build/91402.b8da3824.css)
23:47:36	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22868-63aa6110129d0%22	https://merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.2630a3e3.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/slick-carousel/slick/fonts/slick.2630a3e3.svg	(from https://merchant.mypos.com/build/91402.b8da3824.css)
23:47:36	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Sat,%2026%20Jul%202025%2021:47:36%20GMT	https://merchant.mypos.com/build/node_modules/owl.carousel/dist/assets/owl.video.play.7f01b071.png	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/owl.carousel/dist/assets/owl.video.play.7f01b071.png	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:36	141452/141452	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%222288c-63aa611617799-gzip%22	https://merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.f75b2549.eot	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.f75b2549.eot	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:36	68852/68852	---M--	200	added ('OK')	font/woff2	etag:%2210cf4-63aa610fc95d2%22	https://merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.d7827e97.woff2	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.d7827e97.woff2	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:37	83584/83584	---M--	200	added ('OK')	font/woff	etag:%2214680-63aa610fca572%22	https://merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.fd3931c7.woff	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.fd3931c7.woff	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:37	141276/141276	---MCZ	200	added ('OK')	font/ttf	etag:%22227dc-63aa6116167f9-gzip%22	https://merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.c4ea60fd.ttf	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.c4ea60fd.ttf	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:37	315376/315376	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224cff0-63aa6119fdb24%22	https://merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.087a151b.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/assets/account/fonts/font_icons/font_icons.087a151b.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:37	344/344	---M--	200	added ('OK')	image/png	etag:%22158-63aa611a0e4cb%22	https://merchant.mypos.com/build/assets/account/images/img_sprites/sprite.785e6391.png	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/assets/account/images/img_sprites/sprite.785e6391.png	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:37	1249/1249	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224e1-63aa611a401bf%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/eu.db2e50ad.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/eu.db2e50ad.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:38	1250/1250	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224e2-63aa611a384bc%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/eu.1019087b.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/eu.1019087b.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:38	21066/21066	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22524a-63aa610a8fdc0%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/af.458ab7e0.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/af.458ab7e0.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:38	20928/20928	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2251c0-63aa611a3657b%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/af.867627c5.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/af.867627c5.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:38	3206/3206	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c86-63aa610a8fdc0%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/al.3dd8853b.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/al.3dd8853b.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:39	3205/3205	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c85-63aa611002fc9%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/al.090568ab.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/al.090568ab.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:39	294/294	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22126-63aa61164e2af%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/dz.945a413c.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/dz.945a413c.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:39	305/305	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22131-63aa611a384bc%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/dz.2be2fee6.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/dz.2be2fee6.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:39	8068/8068	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221f84-63aa61100accc%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/as.3b86b687.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/as.3b86b687.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:39	7828/7828	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221e94-63aa611002fc9%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/as.7ae00cb9.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/as.7ae00cb9.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:40	33473/33473	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2282c1-63aa61164d30f%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ad.45026b92.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ad.45026b92.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:40	32253/32253	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227dfd-63aa611002fc9%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ad.94e81025.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ad.94e81025.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:40	1588/1588	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22634-63aa61100accc%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ao.ad6f3c8c.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ao.ad6f3c8c.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:40	1588/1588	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22634-63aa611a3657b%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ao.7ed590a1.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ao.7ed590a1.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:41	48259/48259	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bc83-63aa61164d30f%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ai.c4699001.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ai.c4699001.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:41	48199/48199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bc47-63aa610a8905e%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ai.546a12e3.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ai.546a12e3.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:41	749/749	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222ed-63aa61100accc%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ag.5929ca9f.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ag.5929ca9f.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:41	761/761	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222f9-63aa611a3657b%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ag.3f18bb58.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ag.3f18bb58.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:41	3402/3402	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d4a-63aa61164d30f%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ar.2ff091f8.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/ar.2ff091f8.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:42	3473/3473	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d91-63aa611002fc9%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ar.5a7c09af.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/ar.5a7c09af.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:42	223/223	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22df-63aa611a3e27e%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/am.e935f821.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/am.e935f821.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:42	231/231	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e7-63aa611002fc9%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/am.36fc7db3.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/am.36fc7db3.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:42	9951/9951	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2226df-63aa61100accc%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/aw.98298192.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/aw.98298192.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:42	12084/12084	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222f34-63aa611002fc9%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/aw.b478dded.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/aw.b478dded.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:43	1546/1546	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260a-63aa61100accc%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/au.932d9182.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/au.932d9182.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:43	1483/1483	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225cb-63aa610a8905e%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/au.5b98a120.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/au.5b98a120.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:43	240/240	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f0-63aa611a3e27e%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/at.1281f451.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/at.1281f451.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:43	242/242	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f2-63aa6116465ac%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/at.d7b3791e.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/at.d7b3791e.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:44	512/512	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22200-63aa61100accc%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/az.d4faca47.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/az.d4faca47.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:44	498/498	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221f2-63aa6116465ac%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/az.84126238.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/az.84126238.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:44	552/552	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22228-63aa61164d30f%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/bs.5497678a.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/bs.5497678a.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:44	568/568	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22238-63aa611a3751b%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/bs.a9ddb124.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/bs.a9ddb124.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:44	517/517	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22205-63aa61164d30f%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/bh.ec61516d.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/bh.ec61516d.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:45	538/538	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2221a-63aa611a3657b%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/bh.0cfc5619.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/bh.0cfc5619.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:45	190/190	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22be-63aa610a90d61%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/bd.d16830cb.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/bd.d16830cb.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:45	192/192	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c0-63aa610a89ffe%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/bd.a3ae69de.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/bd.a3ae69de.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:45	609/609	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22261-63aa61100accc%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/bb.021629a6.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/bb.021629a6.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:45	609/609	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22261-63aa611a3657b%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/bb.17738ccf.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/1x1/bb.17738ccf.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
23:47:46	5962/5962	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22174a-63aa610a90d61%22	https://merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/by.ed1fb533.svg	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/node_modules/flag-icon-css/flags/4x3/by.ed1fb533.svg	(from https://merchant.mypos.com/build/22441.e4134377.css)
